id,accountName,accountCode,description,typeCode,accountType,typeName,productCat,addToDashboard,inactive,deleted,createdBy,createdAt,updatedBy,updatedAt
1,"Motor Vehicles",111000,"Non -current assets, Motor Vehicles",111,"Non-current Asset",nonCurrentAsset,,0,0,0,DEMO,,DEMO,
2,"Motor Vehicles - Accum Depr",111500,"Motor Vehicles Accumulated Depreciation",111,"Non-current Asset",nonCurrentAsset,,0,0,0,DEMO,,DEMO,
3,"Office Equipments",112000,"Non -current assets, Office Equipment",111,"Non-current Asset",nonCurrentAsset,,0,0,0,DEMO,,DEMO,
4,"Office Equipments - Accum Depr",112500,"Office Equipments Accumulated Depreciation",111,"Non-current Asset",nonCurrentAsset,,0,0,0,DEMO,,DEMO,
5,"Furnitures & Fittings",113000,"Non -current assets, Furnitures & Fittings",111,"Non-current Asset",nonCurrentAsset,,0,0,0,DEMO,,DEMO,
6,"Furnitures & Fittings - Accum Depr",113500,"Furnitures & Fittings Accumulated Depreciation",111,"Non-current Asset",nonCurrentAsset,,0,0,0,DEMO,,DEMO,
7,"Mainland Bank- Current Account",121000,"Mainland bank Current Account",131,Bank,bank,,1,0,0,DEMO,,DEMO,
8,"Finance Bank- Current Account",121500,"Finance bank Current Account",131,Bank,bank,,1,0,0,DEMO,,DEMO,
9,"Petty Cash",131000,"Petty Cash - Main",132,Cash,cash,,1,0,0,DEMO,,DEMO,
10,"Bank Clearing Account",122100,"Temporary bank Clearing account",133,"Payment Clearing",paymentClearing,,1,0,0,DEMO,,DEMO,
11,"Cash Clearing Account",122200,"Temporary cash clearing account",133,"Payment Clearing",paymentClearing,,1,0,0,DEMO,,DEMO,
12,"Account Receivables",151000,"Account Receivables",141,"Account Receivables",accountReceivables,,1,0,0,DEMO,,DEMO,
13,"Receivables Control",152000,"Receivable Control Account groups multiple customers into a single account",142,"Account Receivable Control",accountReceivableControl,,1,0,0,DEMO,,DEMO,
14,"Prepaid Rent",171000,"Office prepaid rent",143,"Other Current Asset",otherCurrentAsset,,0,0,0,DEMO,,DEMO,
15,Inventory,161000,"Inventory account",151,Inventory,inventory,,0,0,0,DEMO,,DEMO,
16,"Inventory Control",162000,"Inventory control account groups multiple inventory into a single account",152,"Inventory Control",inventoryControl,,0,0,0,DEMO,,DEMO,
17,"Inventory Adjustment",163000,"Adjustment on Inventory is made from this account",153,"Inventory Adjustment",inventoryAdjustment,,0,0,0,DEMO,,DEMO,
18,"Account Payables",221000,"Account Payables",231,"Account Payables",accountPayable,,1,0,0,DEMO,,DEMO,
19,"Payables Control",222000,"Payables Control account groups multiple vendors into a single account",232,"Payables Control",accountPayableControl,,1,0,0,DEMO,,DEMO,
20,"Accrued Expenses",231000,"Accrued Expenses account",241,Accruals,accruals,,0,0,0,DEMO,,DEMO,
21,"Unrealised Interest",231500,"Unrealised Interest account",241,"Account Payables",accountPayable,,0,0,0,DEMO,,DEMO,
22,"Ordinal Share Capital",311000,"Ordinary Share Capital",311,Equity,equity,,0,0,0,DEMO,,DEMO,
23,"Deposit for Shares",312000,"Deposit for Shares ",311,Equity,equity,,0,0,0,DEMO,,DEMO,
24,"Retained Earnings",313000,"Retained Earnings is the ",321,"Retained earnings",retainedEarnings,,0,0,0,DEMO,,DEMO,
25,Income,411000,"Income account",411,Income,income,,1,0,0,DEMO,,DEMO,
26,"Income- Grocery",411001,"Income account",411,Income,income,Grocery,1,0,0,DEMO,,DEMO,
27,"Income- Furnitures",411002,"Income account",411,Income,income,Furnitures,1,0,0,DEMO,,DEMO,
28,"Income- Appliances",411003,"Income account",411,Income,income,Appliances,1,0,0,DEMO,,DEMO,
29,"Other Income",412000,"Other Income account",421,"Other Income",otherIncome,,0,0,0,DEMO,,DEMO,
30,"Interest Income",412150,"Interest Income account",421,"Other Income",otherIncome,,0,0,0,DEMO,,DEMO,
31,"Cost of Goods Sold Control",511000,"Goods Sold Control",511,"Cost of Goods Sold",costOfGoodsSold,,0,0,0,DEMO,,DEMO,
32,"Cost of Goods Sold- Grocery",511001,"Goods Sold Control",511,"Cost of Goods Sold",costOfGoodsSold,Grocery,0,0,0,DEMO,,DEMO,
33,"Cost of Goods Sold- Furnitures",511002,"Goods Sold Control",511,"Cost of Goods Sold",costOfGoodsSold,Furnitures,0,0,0,DEMO,,DEMO,
34,"Cost of Goods Sold- Appliances",511003,"Goods Sold Control",511,"Cost of Goods Sold",costOfGoodsSold,Appliances,0,0,0,DEMO,,DEMO,
35,"Salaries and Wages",521000,"Salaries and Wages account",521,"Operating Expenses",operatingExpenses,,1,0,0,DEMO,,DEMO,
36,"Pension and Other Retirement Benefits",521100,"Pension and Other Retirement Benefits expenses account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
37,"Insurance Premium",530000,"Insurance Premium account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
