id,transactionID,entryType,entryDimen,accountCode,accountCodeSub,accountCodeSubAcct,amount,quantity,unitPrice,dueDate,voucher,doubleEntryId,inactive,deleted,createdBy,createdAt,updatedBy,updatedAt
1,1,DR,1,7,,COA,189991.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
2,1,CR,-1,19,8,VENDORS,189991.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
3,2,DR,1,7,,COA,678628.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
4,2,CR,-1,19,6,VENDORS,678628.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
5,3,DR,1,7,,COA,273046.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
6,3,CR,-1,19,10,VENDORS,273046.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
7,4,DR,1,8,,COA,569327.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
8,4,CR,-1,19,3,VENDORS,569327.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
9,5,DR,1,8,,COA,200896.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
10,5,CR,-1,19,9,VENDORS,200896.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
11,6,DR,1,8,,COA,1000.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
12,6,CR,-1,25,,COA,1000.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
13,7,DR,1,8,,COA,655425.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
14,7,CR,-1,19,3,VENDORS,655425.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
15,8,DR,1,7,,COA,569626.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
16,8,CR,-1,19,4,VENDORS,569626.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
17,9,DR,1,8,,COA,129062.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
18,9,CR,-1,19,3,VENDORS,129062.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
19,10,DR,1,8,,COA,425901.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
20,10,CR,-1,19,4,VENDORS,425901.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
21,11,DR,1,8,,COA,634760.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
22,11,CR,-1,19,6,VENDORS,634760.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
23,12,DR,1,8,,COA,559354.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
24,12,CR,-1,19,7,VENDORS,559354.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
25,13,DR,1,7,,COA,372701.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
26,13,CR,-1,19,5,VENDORS,372701.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
27,14,DR,1,7,,COA,420021.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
28,14,CR,-1,19,2,VENDORS,420021.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
29,15,DR,1,7,,COA,795762.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
30,15,CR,-1,19,1,VENDORS,795762.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
31,16,DR,1,7,,COA,376128.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
32,16,CR,-1,19,2,VENDORS,376128.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
33,17,DR,1,8,,COA,236685.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
34,17,CR,-1,19,10,VENDORS,236685.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.608Z
35,18,DR,1,7,,COA,422732.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
36,18,CR,-1,19,1,VENDORS,422732.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
37,19,DR,1,8,,COA,150561.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
38,19,CR,-1,19,8,VENDORS,150561.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
39,20,DR,1,7,,COA,627601.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
40,20,CR,-1,19,5,VENDORS,627601.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
41,21,DR,1,7,,COA,300000000.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
42,21,CR,-1,22,,COA,300000000.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
43,22,DR,1,1,,COA,50000000.00,,,0,Payment,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
44,22,CR,-1,7,,COA,50000000.00,,,0,Payment,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
45,23,DR,1,3,,COA,40000000.00,,,0,Payment,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
46,23,CR,-1,7,,COA,40000000.00,,,0,Payment,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
47,24,DR,1,5,,COA,30000000.00,,,0,Payment,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
48,24,CR,-1,7,,COA,30000000.00,,,0,Payment,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
49,25,DR,1,8,,COA,721108.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
50,25,CR,-1,19,7,VENDORS,721108.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
51,26,DR,1,8,,COA,737037.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
52,26,CR,-1,19,5,VENDORS,737037.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
53,27,DR,1,58,,COA,150000000.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
54,27,CR,-1,7,,COA,150000000.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
55,28,DR,1,7,,COA,329195.00,,,0,Receipt,,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z,DEMO@sunday.adegboye,2024-09-16T20:11:16.609Z
